StudentID,Marital Status,Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,Totalloan,Totalscholarship,Totalworkstudy,Totalgrant
297957,Single,0.0,College,High School,On Campus Housing,9000.0,0.0,0.0,21809.0
302040,Single,18096.0,High School,High School,Off Campus,18750.0,0.0,0.0,3500.0
234532,Single,12383.0,High School,High School,Off Campus,5500.0,0.0,0.0,7432.0
303486,Married,59303.0,High School,Middle School,Off Campus,31591.0,0.0,0.0,13150.0
304316,Single,25133.0,Unknown,High School,,0.0,0.0,0.0,0.0
302808,Single,15971.0,Middle School,High School,Off Campus,14500.0,0.0,0.0,8438.0
304266,Single,0.0,High School,High School,On Campus Housing,33500.0,0.0,0.0,10502.0
292741,Single,0.0,High School,High School,With Parent,23000.0,0.0,0.0,0.0
296902,Single,19709.0,Unknown,High School,Off Campus,2500.0,16142.8,0.0,11100.0
302171,Single,42557.0,High School,High School,Off Campus,3750.0,0.0,0.0,0.0
303077,Single,0.0,College,College,Off Campus,0.0,0.0,0.0,2775.0
273529,Single,0.0,High School,High School,With Parent,19100.0,0.0,0.0,36272.0
288584,Separated,0.0,Middle School,Middle School,Off Campus,29148.0,0.0,1000.0,33199.0
301468,Single,23666.0,High School,Middle School,Off Campus,28250.0,0.0,0.0,25308.0
301767,Single,10551.0,High School,High School,With Parent,17500.0,0.0,0.0,11808.0
300422,,,,,,0.0,0.0,0.0,0.0
268001,,,,,,0.0,0.0,0.0,0.0
304663,Single,0.0,High School,High School,With Parent,15250.0,0.0,0.0,12310.0
260813,Single,11000.0,High School,High School,Off Campus,10200.0,0.0,0.0,10450.0
304849,,,,,,0.0,0.0,0.0,0.0
278532,Single,0.0,Unknown,Unknown,Off Campus,8720.0,0.0,0.0,30406.0
283573,Single,0.0,Unknown,College,On Campus Housing,2750.0,0.0,4223.0,66700.0
299299,Single,2065.0,Middle School,Middle School,With Parent,3500.0,0.0,0.0,7862.0
302704,Single,0.0,Unknown,Unknown,With Parent,0.0,0.0,0.0,2025.0
302077,,,,,,0.0,0.0,0.0,0.0
303071,Single,0.0,Unknown,College,On Campus Housing,0.0,0.0,0.0,11588.0
298214,Single,0.0,Unknown,High School,With Parent,0.0,0.0,0.0,2082.0
302900,Single,2497.0,High School,High School,With Parent,8000.0,0.0,0.0,16309.0
298985,Single,0.0,Middle School,Middle School,With Parent,28250.0,0.0,0.0,15670.0
300865,Single,5405.0,High School,High School,With Parent,8228.0,0.0,0.0,0.0
289804,Single,0.0,Middle School,High School,Off Campus,7826.0,0.0,0.0,5032.0
300030,Single,0.0,High School,College,Off Campus,5500.0,0.0,0.0,5387.0
