StudentID,Cohort,CohortTerm,Term,AcademicYear,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA
20932,2014-15,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,0,0
21868,2014-15,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,3.9,3.78
21868,2014-15,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,3.85,3.68
21868,2014-15,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.37,3.36
21868,2014-15,1,3,2016-17,0,0,0,0,0,0,0,0,0,1,4,3.81
21868,2014-15,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,4,3.75
21868,2014-15,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.9,3.63
21868,2014-15,1,6,2016-17,0,0,0,0,0,0,0,0,0,1,4,3.82
21943,2012-13,1,1,2012-13,0,0,0,0,0,0,0,0,0,1,0,0
21943,2012-13,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,0,0
22011,2011-12,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.34,3.32
22011,2011-12,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,3.35,3.38
22011,2011-12,1,1,2012-13,0,0,0,0,0,0,0,0,0,1,3.4,3.59
22011,2011-12,1,1,2011-12,0,1,0,0,0,0,0,0,0,1,3.9,3.9
22011,2011-12,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.15,3.3
22011,2011-12,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,2.68,3.27
22011,2011-12,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,3.25,3.5
22011,2011-12,1,3,2011-12,1,0,0,0,0,0,0,0,0,1,3.57,3.7
22011,2011-12,1,6,2013-14,0,0,0,0,0,0,0,0,0,1,4,3.29
22011,2011-12,1,6,2012-13,0,0,0,0,0,0,0,0,0,1,2.5,3.39
22011,2011-12,1,6,2011-12,0,0,0,0,0,0,0,0,0,1,3.3,3.74
22163,2013-14,3,1,2016-17,0,0,0,0,0,0,0,0,0,1,4,3.24
22163,2013-14,3,1,2015-16,0,0,0,0,0,0,0,0,0,1,2.15,3
22163,2013-14,3,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.2,3.17
22163,2013-14,3,3,2016-17,0,0,0,0,0,0,0,0,0,1,4,3.3
22163,2013-14,3,3,2015-16,0,0,0,0,0,0,0,0,0,1,3.85,3.17
22163,2013-14,3,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.5,3.28
22163,2013-14,3,3,2013-14,0,0,0,0,0,0,0,0,0,1,3.15,3.15
22672,2013-14,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,1.85,3.21
22672,2013-14,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,4,3.82
22672,2013-14,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,0,3.82
22672,2013-14,1,6,2014-15,0,0,0,0,0,0,0,0,0,1,0,3.52
22672,2013-14,1,6,2013-14,0,0,0,0,0,0,0,0,0,1,2.3,3.52
23538,2013-14,3,1,2014-15,0,0,0,0,0,0,0,0,0,1,4,3.73
23538,2013-14,3,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.6,3.71
23538,2013-14,3,3,2013-14,0,0,0,0,0,0,0,0,0,1,3.57,3.56
23538,2013-14,3,6,2014-15,0,0,0,0,0,0,0,0,0,1,3.7,3.73
23538,2013-14,3,6,2013-14,0,0,0,0,0,0,0,0,0,1,4,3.42
23548,2012-13,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.12,2.99
23548,2012-13,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,3.4,2.97
23548,2012-13,1,1,2012-13,0,0,0,0,0,0,0,0,0,1,3.46,3.46
23548,2012-13,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.5,3.03
23548,2012-13,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,2.94,2.96
23548,2012-13,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,1.78,2.71
23606,2015-16,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,0,0
23897,2014-15,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,3.73,3.86
23897,2014-15,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.93,3.92
23897,2014-15,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,3.81,3.84
23897,2014-15,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.94,3.93
25142,2016-17,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,2.48,2.47
25142,2016-17,1,3,2016-17,0,0,0,0,0,0,0,0,0,1,3.1,2.78
25142,2016-17,1,6,2016-17,0,0,0,0,0,0,0,0,0,1,3.5,3.05
25893,2012-13,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,2.6,2.44
25893,2012-13,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,2.47,2.41
25893,2012-13,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,3.25,2.36
25893,2012-13,1,1,2012-13,0,0,0,0,0,0,0,0,0,1,1.6,1.6
25893,2012-13,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,2.67,2.46
25893,2012-13,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,2.47,2.4
25893,2012-13,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,2.6,2.4
25893,2012-13,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,2.38,1.99
25893,2012-13,1,6,2012-13,0,0,0,0,0,0,0,0,0,1,2.65,2.02
26047,2014-15,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,1,2.96
26047,2014-15,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,2.8,3.06
26047,2014-15,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,3.7,2.77
26047,2014-15,1,3,2016-17,0,0,0,0,0,0,0,0,0,1,2.33,2.67
26047,2014-15,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,1.9,3.03
26047,2014-15,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,3.52,3.16
26359,2015-16,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,3.84,3.69
26359,2015-16,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,3.58,3.57
26359,2015-16,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,3.65,3.61
26367,2011-12,1,1,2016-17,0,0,0,0,0,0,0,0,0,1,3.12,2.85
26367,2011-12,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,3.08,2.78
26367,2011-12,1,1,2014-15,0,0,0,0,0,0,0,0,0,1,2.65,2.81
26367,2011-12,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,3,2.91
26367,2011-12,1,1,2012-13,0,1,0,0,0,0,0,0,0,1,2.93,2.69
26367,2011-12,1,1,2011-12,1,1,0,0,0,0,0,0,0,1,2.76,2.76
26367,2011-12,1,3,2016-17,0,0,0,0,0,0,0,0,0,1,3.14,2.88
26367,2011-12,1,3,2015-16,0,0,0,0,0,0,0,0,0,1,2.86,2.79
26367,2011-12,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,2.18,2.73
26367,2011-12,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,2.43,2.84
26367,2011-12,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,3.24,2.88
26367,2011-12,1,3,2011-12,0,1,0,0,0,0,0,0,0,1,2.43,2.56
26367,2011-12,1,6,2015-16,0,0,0,0,0,0,0,0,0,1,3.7,2.82
26404,2011-12,1,1,2012-13,0,1,0,0,0,0,0,0,0,1,0.75,1.81
26404,2011-12,1,1,2011-12,0,1,0,0,0,0,0,0,0,1,2.65,2.65
26404,2011-12,1,3,2011-12,0,0,0,0,0,0,0,0,0,1,2.1,2.28
26586,2012-13,1,1,2012-13,1,0,0,0,0,0,0,0,0,1,0.85,0.85
26586,2012-13,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,0,0.24
26660,2011-12,1,1,2011-12,0,0,0,0,0,0,0,0,0,1,3.52,3.52
26660,2011-12,1,3,2011-12,0,0,0,0,0,0,0,0,0,1,0,3.52
26846,2011-12,1,1,2013-14,0,0,0,0,0,0,0,0,0,1,3.75,3.31
26846,2011-12,1,1,2012-13,0,0,0,0,0,0,0,0,0,1,3.18,3.35
26846,2011-12,1,1,2011-12,0,0,0,0,0,0,0,0,0,1,3.4,3.4
26846,2011-12,1,3,2014-15,0,0,0,0,0,0,0,0,0,1,2.66,3.32
26846,2011-12,1,3,2013-14,0,0,0,0,0,0,0,0,0,1,3.43,3.33
26846,2011-12,1,3,2012-13,0,0,0,0,0,0,0,0,0,1,2.57,3.2
26846,2011-12,1,3,2011-12,0,0,0,0,0,0,0,0,0,1,3.5,3.45
26846,2011-12,1,6,2013-14,0,0,0,0,0,0,0,0,0,1,3,3.32
27743,2014-15,1,1,2015-16,0,0,0,0,0,0,0,0,0,1,2.5,2.52
